material,ethanol_pct,temperature_C,water_ppm,chloride_mg_L,dissolved_O2_ppm,TAN_mgKOH_g,conductivity_uS_cm,flow_velocity_m_s,exposure_hours,surface_roughness_Ra_um,inhibitor_present,pH,corrosion_rate_mm_per_y
Copper,10,46.34,277.8,8.33,5.75,0.127,41.22,0.13,93,1.074,1,6.88,0.02062
Copper,15,25.39,243.9,37.9,5.18,0.093,65.31,0.631,288,1.069,0,6.52,0.05014
ZnCoatedSteel,10,40.9,221.2,21.59,2.35,0.111,57.6,0.225,150,0.05,0,6.34,0.01412
LowCarbonSteel,15,28.51,377.9,23.05,1.45,0.177,71.62,0.94,133,1.251,1,6.22,0.04785
SS304,5,28.93,330,28.43,3.02,0.145,29.62,0.207,182,1.508,0,6.72,0.00472
ZnCoatedSteel,10,40.05,369.4,15.57,1.91,0.073,38.86,0.298,202,0.577,0,6.65,0.02148
Copper,15,49.36,177.8,3.49,0.58,0.096,66.07,0.406,327,0.466,1,7.76,0.01692
Copper,10,30.68,343.7,5.98,1.26,0.261,47.03,0.202,292,2.563,0,6.17,0.02467
Copper,5,29.53,511.8,2.66,5.39,0.092,30.89,0.174,206,1.464,0,7.04,0.0341
LowCarbonSteel,10,24.92,10.5,11.97,3.38,0.114,44.25,0.352,35,1.583,1,6.98,0.05247
Brass,0,64.42,198.2,4.75,3.27,0.14,33.89,0.69,327,1.341,0,6.86,0.01182
Copper,0,64.56,210.1,3.32,2.13,0.12,2.05,0.077,142,0.591,1,7.22,0.01458
Al6061,5,50.77,636.6,8.38,7.21,0.095,57.03,0.283,75,0.588,0,7.04,0.01037
Al6061,0,60.56,212.6,6.15,7.4,0.061,12.1,0.367,302,1.839,0,6.76,0.00608
Copper,15,66.64,243.3,11.27,6.04,0.174,65.08,0.911,263,1.657,0,6.35,0.01141
ZnCoatedSteel,10,32.64,231.3,9.01,3.98,0.136,39.26,0.683,189,0.645,0,6.92,0.01521
Al6061,10,22.84,395.8,6.93,2.25,0.151,61.71,0.908,118,1.168,0,7.08,0.02619
Brass,5,16.54,297.9,15.51,6.59,0.151,33.71,0.216,289,2.069,0,6.71,0.03619
Copper,0,51.91,261.8,2.86,2.87,0.106,26.63,0.607,222,1.106,1,6.09,0.01045
SS304,5,37.56,358.4,2.13,5.73,0.131,43.09,0.478,111,1.834,0,6.49,0.00338
LowCarbonSteel,15,68.14,431,1.24,1.08,0.135,54.63,0.086,128,0.929,1,7.02,0.01369
ZnCoatedSteel,5,44.12,267.2,16.78,5.81,0.099,26.02,0.92,269,1.684,0,7,0.01797
SS304,10,20.86,593.7,16.35,0.99,0.158,46.32,1.179,54,1.928,0,6.93,0.00591
Copper,10,15.81,213.5,16.5,3.43,0.123,55.47,0.645,202,1.983,0,7.36,0.05995
LowCarbonSteel,10,67.62,373.8,1.37,5.03,0.089,29.81,0.43,271,2.166,1,6.86,0.02512
Al6061,10,55,433,2.94,7.88,0.135,48.84,0.463,306,1.527,0,6.44,0.00546
SS304,10,40.16,344,13.67,7.53,0.144,58.48,0.708,113,0.067,1,6.63,0.00201
Copper,5,44.46,95.1,11.83,7.85,0.142,28.78,0.479,220,1.159,0,6.94,0.02211
SS304,10,56.08,383.2,6.45,6.03,0.132,49.8,0.225,321,1.858,0,6.25,0.00225
Copper,15,69.26,518.7,1.06,4.07,0.112,46.04,0.276,125,1.862,1,6.3,0.00872
Brass,10,35.66,199.4,16.54,3.8,0.185,42.09,0.506,187,2.151,1,5.88,0.01169
SS304,0,20.87,276.1,4.91,2.85,0.092,14.97,0.881,283,0.624,0,6.76,0.00469
SS304,0,33.51,360.7,11.55,5.18,0.111,19.83,0.524,58,0.789,0,6.59,0.00409
SS304,10,52.73,288,11.08,4.26,0.131,44.77,1.176,155,0.585,1,7.11,0.00122
ZnCoatedSteel,10,61.69,259.3,23.28,4.56,0.099,53.24,1.008,198,0.912,1,6.55,0.0055
LowCarbonSteel,15,16.74,607.7,6.98,2.02,0.196,67.32,0.401,87,1.073,1,6.73,0.07595
Brass,15,19.41,347,1.99,1.02,0.166,66.03,0.805,48,0.054,0,7.18,0.03375
LowCarbonSteel,5,24.87,301.1,9.79,5.99,0.092,50.56,0.424,44,1.641,0,6.36,0.08231
Brass,10,42.08,281.8,0.98,6.46,0.147,56.61,0.297,96,1.179,0,6.39,0.01342
ZnCoatedSteel,15,33.84,39.3,20.11,7.4,0.11,64.65,0.145,100,1.023,0,5.65,0.02436
LowCarbonSteel,0,18.27,482.1,28.94,5.6,0.159,9.42,0.029,56,1.452,0,6.54,0.07052
Copper,0,39.1,290.2,10,7.7,0.095,0.5,0.66,84,0.815,0,6.49,0.02116
ZnCoatedSteel,5,39.88,274.3,8.07,3,0.113,22.18,0.282,223,1.818,0,6.97,0.02488
LowCarbonSteel,0,63.56,289.6,13.35,3.18,0.045,23.28,0.571,322,0.83,0,6.55,0.01854
Copper,15,64.25,279.8,6.49,5.37,0.171,60.05,0.465,28,0.879,1,5.95,0.00975
LowCarbonSteel,0,17.84,10.8,1.51,6.87,0.073,27.49,0.386,85,1.319,0,7.33,0.09857
Copper,15,58.9,460.8,12.12,7.73,0.07,79.51,0.556,178,0.584,0,6.45,0.0195
Copper,0,28.38,159.6,9.01,6.7,0.128,23.87,0.028,150,1.95,1,6.11,0.01723
Brass,5,48.47,294.4,8.25,0.52,0.179,30.04,0.646,184,2.21,0,7.41,0.01937
LowCarbonSteel,15,58.22,755,3.22,5.88,0.104,67.32,0.809,329,1.703,1,6.74,0.02054
Brass,15,32.14,367.5,3.04,5.45,0.086,38.63,1.159,145,1.879,0,6.86,0.0239
Brass,15,59.84,365.3,36.16,7.64,0.198,60.3,0.608,188,0.681,0,6.33,0.01231
SS304,5,48.27,340,1.92,6.39,0.168,32.81,0.974,203,1.598,0,6.48,0.00247
ZnCoatedSteel,0,68.13,349.1,2.45,3.61,0.061,2.81,0.485,111,0.605,0,6.96,0.00928
Brass,0,41.11,547.9,15.76,1.81,0.089,18.18,0.501,301,0.981,0,6.47,0.01355
Copper,0,19.74,484.5,9.38,2.46,0.097,12.92,1.033,24,0.938,0,6.92,0.02967
Brass,0,52.48,312,14.55,3.38,0.107,25.75,1.568,31,0.755,0,6.75,0.01308
LowCarbonSteel,0,60.4,99.8,0.91,2.76,0.121,22.76,0.065,62,0.05,1,6.61,0.0178
Brass,10,38.2,453.8,9.13,4.63,0.128,60.03,1.055,109,1.732,0,6.09,0.01459
SS304,15,69.22,194.4,22.94,3.22,0.219,78.75,0.595,205,0.789,0,6.8,0.00119
LowCarbonSteel,0,29.88,146.4,6.09,1.61,0.14,9.41,0.45,265,2.089,0,6.47,0.05538
SS304,10,29.81,223.4,1.34,3.32,0.079,58.15,0.594,80,0.204,0,6.43,0.00403
Copper,10,56.69,284.4,9.45,3.81,0.145,62.33,0.503,272,1.242,0,5.84,0.01244
LowCarbonSteel,10,63.87,551.5,3.68,4.8,0.174,62.33,0.383,105,2.197,0,6.25,0.01847
Al6061,5,20.64,130.9,0.93,6.18,0.144,47.93,0.985,83,1.718,0,6.36,0.02351
LowCarbonSteel,0,43.63,71.8,17.9,5.51,0.099,4.37,0.592,205,1.376,0,6.75,0.04725
ZnCoatedSteel,15,28.2,595.4,10.02,7.02,0.159,56.26,1.478,165,0.233,0,6.62,0.03154
ZnCoatedSteel,5,16,347.2,7.97,1.2,0.045,39.69,1.185,237,0.535,0,6.66,0.02853
Al6061,5,21.1,112.8,4.33,3.69,0.137,40.87,0.306,61,1.475,0,7.09,0.01766
LowCarbonSteel,10,20.69,427.6,8.02,2,0.117,39.08,0.798,125,0.357,0,6.81,0.07351
ZnCoatedSteel,15,33.8,349.7,1.49,6.34,0.214,73.65,0.808,123,0.85,0,6.8,0.02284
Copper,5,69.17,284.3,2.74,3.11,0.18,31.46,1.02,113,0.974,0,6.4,0.0103
Copper,0,15.09,273.7,23.13,4.45,0.134,18.36,0.992,304,1.764,0,6.29,0.04324
LowCarbonSteel,5,27.95,503.3,2.16,2.09,0.185,25.97,0.206,309,1.394,0,6.51,0.03556
LowCarbonSteel,0,15.11,463.7,4.27,5.88,0.085,27.22,0.091,112,1.572,1,6.38,0.07558
Al6061,10,28.78,281,3.24,4.58,0.204,56.27,0.172,32,1.896,0,7.39,0.01859
ZnCoatedSteel,5,58.59,308.4,36.34,6.55,0.087,45.88,0.722,146,2.112,0,5.74,0.00832
SS304,15,44.43,195.6,6.01,2.52,0.165,60.83,0.872,104,0.473,0,6.56,0.00218
Brass,10,45.27,371.2,12.21,1.03,0.102,41.02,0.967,282,0.742,0,7.25,0.01535
Brass,10,25.95,411.9,7.9,4.93,0.19,55.54,1.418,44,0.331,0,7.26,0.03104
SS304,5,55.32,334.2,1.6,3.77,0.142,45.3,1.311,213,1.229,1,6.52,0.00093
Brass,5,55.64,372.5,7.02,1.88,0.164,28.38,0.177,276,0.936,0,7.17,0.01195
Copper,15,41,153.9,2.13,5.9,0.159,68.96,0.403,246,0.683,0,6.76,0.02354
LowCarbonSteel,5,59.75,183.6,22.01,1.89,0.098,34.74,0.725,39,0.841,0,5.88,0.02429
Copper,5,34.01,295,13.28,2.98,0.123,35.92,0.389,334,1.807,0,6.85,0.02556
Al6061,10,16.4,127.7,3.81,3.31,0.218,44.65,0.877,193,1.286,1,6.48,0.01095
LowCarbonSteel,10,60.1,294,3,4.56,0.137,39.84,1.129,60,1.496,0,6.54,0.02278
ZnCoatedSteel,0,40.46,557,10.47,7.38,0.124,42.58,0.58,58,0.692,0,7.57,0.0206
Al6061,15,60.52,342.2,5.82,5.5,0.195,59.88,0.063,257,2.026,1,7.66,0.00463
SS304,10,23.86,168.3,4.97,6.72,0.073,43.62,0.933,145,0.637,0,7.27,0.00603
Al6061,15,62.85,438,8.37,3.21,0.154,65.27,0.103,101,1.697,0,6.4,0.00471
SS304,15,61.53,252.3,3.77,0.78,0.119,67.64,0.782,105,1.968,1,6.24,0.0007
LowCarbonSteel,15,50.59,452.7,6.99,1.81,0.169,58.3,0.769,292,1.219,0,6.98,0.02398
LowCarbonSteel,10,44.23,444.1,8.29,2.1,0.115,43.42,0.333,259,0.921,0,6.89,0.03621
SS304,5,54.09,226.8,11.5,2.13,0.107,31.12,1.003,194,2.35,1,6.59,0.00103
Brass,0,37.38,434.2,0.65,7.51,0.114,2.96,0.196,263,0.409,0,6.67,0.02238
ZnCoatedSteel,5,68.22,183.1,28.32,6.22,0.151,36.36,0.314,41,1.327,0,6.92,0.0065
LowCarbonSteel,0,29.08,323.9,1.18,5,0.057,28.7,0.306,179,1.527,0,7.1,0.07822
SS304,5,69.23,470.8,8.27,3.74,0.169,18.21,0.328,324,1.867,0,6.95,0.00137
ZnCoatedSteel,10,31.16,377.5,8.89,5.05,0.13,45.34,0.057,125,0.26,0,5.89,0.01509
LowCarbonSteel,5,61.53,318.7,10.76,1.67,0.141,42.19,0.039,69,0.622,0,6.17,0.02345
Copper,15,34.76,449.8,0.23,1.84,0.131,62.83,0.003,243,1.544,0,7.06,0.02371
LowCarbonSteel,5,69.19,299,4.45,2.34,0.128,31.78,0.633,101,0.801,0,6.81,0.01844
ZnCoatedSteel,0,64.88,408.5,11.12,4.31,0.134,16.73,0.459,78,1.868,0,6.63,0.00582
LowCarbonSteel,0,33.97,96.6,9.94,1.58,0.048,22.96,0.305,147,2.044,0,7.29,0.04987
Copper,15,65.23,224.4,10.35,1.98,0.113,66.36,0.494,141,0.859,0,6.41,0.01811
Copper,10,55.9,411.3,16.44,8,0.117,50.97,1.477,167,1.169,0,6.82,0.02026
Brass,0,25.81,242.4,4.44,6.95,0.081,21.21,0.306,45,1.66,0,7.09,0.02862
Copper,0,58.38,336.9,14.62,2.58,0.189,22.01,0.684,326,2,0,6.87,0.01596
Copper,15,53.16,270.7,4.95,6.88,0.187,76.24,0.799,37,0.05,1,7.44,0.01443
Al6061,15,17.09,484.3,9.23,2.36,0.126,69.68,0.189,293,1.546,0,6.25,0.02299
Copper,15,63.84,496,12.29,7.11,0.093,64.26,0.148,63,0.224,0,6.59,0.01138
Brass,15,38.26,351.1,0.36,4.63,0.149,57.95,0.639,123,1.118,0,6.52,0.02189
LowCarbonSteel,15,24.17,399.4,15.85,5.25,0.154,63.17,0.692,286,1.434,1,5.74,0.04271
ZnCoatedSteel,15,25.86,316.4,6.91,7.91,0.211,72.23,0.313,255,1.321,0,7.25,0.0334
SS304,10,58.59,362.1,19.65,7.26,0.184,59.71,0.39,105,1.476,0,7.15,0.00186
Copper,15,45.38,394,20.7,4.15,0.105,76.99,0.569,265,0.47,0,6.55,0.02794
Copper,10,49.28,205.8,16.46,2.09,0.195,60.39,0.351,31,1.308,1,6.43,0.01295
SS304,0,32.66,176.2,5.48,3.88,0.112,2.6,0.529,269,1.917,0,6.73,0.00521
Brass,5,37.41,537.7,3.99,0.98,0.14,39.12,0.413,71,1.003,0,6.48,0.02563
LowCarbonSteel,10,33.01,333.1,5.34,5.56,0.157,43.14,0.273,262,0.609,1,6.41,0.04264
LowCarbonSteel,5,45.47,91.1,3.51,0.59,0.113,64.96,0.069,322,1.57,0,7,0.03724
Brass,10,26.12,297.2,22.36,2.42,0.246,61.9,0.809,223,1.162,0,7.46,0.04857
Copper,0,68.89,289.5,4.61,2.63,0.114,8.16,0.04,276,1.159,0,6.53,0.00991
SS304,15,22.84,458.8,16.89,6.53,0.162,66.98,0.019,233,1.618,1,6.55,0.00331
Brass,0,52.8,285.3,10.16,1.91,0.119,24.91,0.774,255,1.888,0,6.12,0.01434
LowCarbonSteel,15,61.09,278.5,14.97,1.67,0.123,72.16,0.048,71,1.424,1,6.66,0.01742
Al6061,15,59.63,376.9,31.82,3.94,0.095,72.51,0.046,125,2.372,0,5.62,0.0046
ZnCoatedSteel,5,57.62,185.1,6.87,3.23,0.157,56.01,0.442,97,1.247,0,6.47,0.00754
Copper,15,65.26,407,2.64,2.78,0.12,32.03,0.531,290,1.577,0,6.95,0.01195
SS304,0,38.91,178.4,3.16,3.97,0.14,22.35,0.281,306,0.98,0,6.92,0.00329
LowCarbonSteel,0,35.15,407.8,6.31,5.9,0.105,21.31,0.83,83,0.762,0,7.05,0.05582
SS304,15,19.34,464.6,17.27,5.59,0.103,74.74,0.689,326,0.955,0,7.01,0.00641
Copper,15,68,653.4,6.82,4.36,0.119,72.29,0.112,307,0.938,0,7.01,0.01015
LowCarbonSteel,0,26.46,251.7,12.49,1.82,0.141,30.3,0.574,242,1.364,0,7.08,0.07044
ZnCoatedSteel,15,20.31,423.6,1.38,1.89,0.22,64.4,0.479,115,1.341,0,6.88,0.02962
SS304,15,39.42,708.6,3.63,5.13,0.116,66.5,0.493,298,1.665,1,6.81,0.00208
Copper,10,29.52,474.5,2.24,2.85,0.149,46.03,0.6,199,0.315,1,6.47,0.01966
SS304,5,52.42,274.7,4.75,6.01,0.105,30.19,0.581,242,1.294,1,6.34,0.00115
SS304,10,31.72,61.9,3.63,1.9,0.106,57.86,0.396,48,1.289,0,6.88,0.00482
SS304,0,61.14,73.8,10.43,3.78,0.154,17.79,0.985,260,1.355,0,6.83,0.00113
Copper,5,19.3,237.4,4.73,1.31,0.119,51.82,0.794,211,0.523,0,7.1,0.03701
ZnCoatedSteel,10,25.9,289.9,8.84,2.73,0.14,41.87,0.545,300,1.726,0,6.41,0.02385
Al6061,10,64.5,247.7,0.84,1.77,0.144,57.72,0.681,181,1.666,0,6.55,0.00473
LowCarbonSteel,15,59.81,338.1,5.15,4.68,0.097,64.41,0.606,246,0.432,0,6.98,0.02854
Brass,5,26.11,273.5,9.37,4.48,0.051,36.41,0.731,314,0.635,1,5.94,0.02146
SS304,0,50.24,62.2,7.18,6.99,0.075,31.9,0.655,292,1.964,0,6.72,0.00167
SS304,10,20.97,410.6,13.61,7.52,0.16,49.72,0.926,155,0.05,0,6.43,0.00641
ZnCoatedSteel,10,56.82,177.4,2.77,3.93,0.1,43.38,1.413,160,0.862,1,7,0.00792
ZnCoatedSteel,10,65.93,254,18.47,2.24,0.156,66.26,0.059,310,2.178,1,6.78,0.00657
ZnCoatedSteel,0,38.51,142.9,28.28,6.73,0.094,29.68,0.988,27,0.634,0,6.71,0.01461
LowCarbonSteel,10,19.07,224.5,3.18,1.73,0.105,50.77,0.743,232,1.124,1,7.21,0.06173
Brass,10,53.56,338.7,0.17,6.83,0.203,59.26,0.416,130,0.814,0,6.93,0.01344
Copper,10,47.57,521.1,7.1,5.51,0.181,55.2,0.446,317,0.907,0,6.44,0.01579
Copper,10,52.68,453.2,2.84,0.98,0.212,56.8,0.781,210,0.967,1,7.68,0.01332
Brass,0,63.19,266.2,15.83,2.03,0.04,26.5,0.715,244,1.141,1,6.99,0.00614
Copper,5,17.14,587.3,7.21,2.18,0.157,27.4,0.841,178,0.692,0,6.48,0.03389
LowCarbonSteel,0,52.74,271.6,6.57,5.96,0.139,32.42,0.952,79,1.559,0,6.36,0.03347
ZnCoatedSteel,5,16.71,293.7,7.04,4.93,0.142,47.12,0.286,44,0.809,0,6.25,0.02685
ZnCoatedSteel,15,20.03,286.8,3.32,7.84,0.133,77.68,0.526,141,0.05,0,5.86,0.03286
Copper,0,57.52,206.7,1.46,6.62,0.113,19.2,0.949,321,0.937,0,7.53,0.01959
SS304,0,15.81,533.2,4.06,1.9,0.092,21.19,0.5,333,0.754,0,6.64,0.00565
Al6061,5,35.09,270.5,15.59,1.48,0.107,19.26,0.296,257,1.525,0,7.26,0.01586
Al6061,15,24.08,768.8,1.32,1.76,0.167,59.85,0.597,270,2.324,0,6.44,0.01552
SS304,15,22.88,471.7,17.38,3.34,0.081,48.87,0.705,84,1.96,0,6.68,0.00823
Brass,5,29.66,339.5,6.16,6.63,0.113,44.1,0.182,322,1.138,1,6.97,0.01752
Copper,5,24.12,477,7.29,6.98,0.147,40.88,0.599,231,0.529,1,6.54,0.02003
ZnCoatedSteel,0,15.4,127,4.38,0.97,0.069,7.45,0.748,86,1.872,0,6.65,0.03016
Al6061,5,62.77,210.8,2.98,7.04,0.15,24.66,0.616,87,1.921,0,6.54,0.00315
Copper,15,27.14,596.7,5.13,0.57,0.212,68.56,1.301,268,1.185,0,7.23,0.05471
Copper,10,19.16,325.8,6.42,6.09,0.126,47.65,0.055,306,0.935,1,6.48,0.03156
Brass,15,25.46,306.6,0.39,1.31,0.098,61.2,0.083,227,1.127,1,6.63,0.02184
Copper,15,33.27,114.2,2.86,6.29,0.124,72.06,1.367,148,0.635,0,7.19,0.04444
Copper,5,52.68,345.5,16.82,2.96,0.137,34.29,1.273,103,0.635,0,6.21,0.02566
Copper,0,15.72,251,17.39,2.79,0.091,36.44,0.319,303,2.005,0,6.37,0.03721
SS304,0,24.49,404.9,3.31,2.94,0.117,11.36,0.085,184,1.724,0,7.04,0.00637
LowCarbonSteel,0,16.97,186.8,2.21,0.8,0.071,29.16,0.456,145,1.537,1,6.94,0.09845
Brass,5,43.97,387.6,2.83,0.54,0.061,22.98,0.851,193,1.69,0,7.01,0.01827
ZnCoatedSteel,0,31.41,223.2,10.33,3.07,0.122,13.55,0.013,75,0.807,0,7.02,0.0137
LowCarbonSteel,15,45.75,170.9,1.21,4.32,0.123,68.51,0.273,192,1.568,0,6.06,0.03344
Brass,5,38.99,344.4,6.43,7.7,0.153,44.42,0.957,330,0.865,0,6.41,0.01449
ZnCoatedSteel,15,44.9,407.4,1.68,0.61,0.126,81.04,0.217,320,0.964,0,7.57,0.01419
ZnCoatedSteel,0,58.37,232.1,1.57,2.95,0.105,18.09,0.39,47,1.772,0,7.02,0.00839
LowCarbonSteel,5,64.74,235,2.46,5.58,0.172,34.62,0.722,210,0.333,0,6.68,0.02774
Copper,0,40.86,305,12.65,7.83,0.093,21.93,0.219,222,0.236,0,7.58,0.03339
Copper,10,29.59,190.5,15.1,1.5,0.124,72.93,1.188,82,1.355,1,6.63,0.02642
Brass,10,49.05,248.3,12.31,1.17,0.086,50.15,0.499,148,1.008,1,6.75,0.00996
Copper,10,58.76,425.6,11.89,7.87,0.146,54.58,0.729,46,2.405,0,6.76,0.01886
SS304,10,39.08,325.3,15.89,2.6,0.106,56.96,0.876,329,0.838,0,6.76,0.00199
Brass,10,23.91,325.2,6.26,2.36,0.138,63.8,0.237,294,1.565,1,6.8,0.01765
ZnCoatedSteel,0,19.56,81.5,14.84,5.52,0.126,19.99,0.54,330,1.224,1,6.38,0.01687
Copper,0,17.63,395.2,5.55,3.5,0.148,18.93,0.347,172,0.989,1,6.6,0.02856
SS304,10,24.84,60.4,8.86,7.38,0.246,28.2,0.558,250,1.303,1,6.18,0.00271
Copper,15,28.96,204.2,3.34,1.9,0.156,77.95,1.084,313,1.151,0,6.41,0.03333
Copper,15,49.54,229.2,18.13,0.69,0.104,68.99,1.124,218,1.69,1,6.59,0.01498
SS304,10,64.81,528.8,19.96,0.7,0.215,50.99,0.826,197,1.052,0,6.97,0.00138
Al6061,5,29.96,203.2,26.19,6.41,0.123,49.08,0.341,321,2.797,1,5.75,0.00638
